ID,class,gender,race,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,Functional_analysis,from1,from2,from3,from4,y,class,GPA,ID
1194,A,female,1,77.53,76,53,55,87,82,80,63,E,B,A,0,0,A,77.53,1194
1195,A,female,1,78.08,65,60,75,88,78,78,61,J,B,A,0,2,A,78.08,1195
1196,A,female,1,87.44,87,75,91,88,95,89,94,A,A,A,2,0,A,87.44,1196
1197,A,female,7,81.71,69,68,78,88,78,74,78,O,A,A,0,0,A,81.71,1197
1198,B,female,1,85.72,75,80,64,88,86,86,69,E,B,A,0,1,B,85.72,1198
1199,B,female,3,88.35,93,71,85,88,91,92,86,U,B,A,0,1,B,88.35,1199
1200,B,male,4,79.34,62,75,80,89,75,63,74,I,B,A,0,0,B,79.34,1200
1201,A,female,1,84.7,62,66,93,89,84,79,81,W,A,A,0,0,A,84.7,1201
1202,A,male,3,78.39,66,60,66,89,76,75,78,P,B,B,0,2,A,78.39,1202
1203,B,female,1,77.53,72,71,71,89,82,66,60,X,B,D,0,0,B,77.53,1203
1204,B,female,1,81.03,73,53,88,89,81,78,68,K,B,D,0,0,B,81.03,1204
1205,A,female,1,83.79,81,71,68,90,79,86,73,N,A,A,0,2,A,83.79,1205
1206,A,male,1,86.37,95,76,87,90,86,94,84,E,B,A,0,0,A,86.37,1206
1207,B,female,1,87.3,81,80,83,90,94,95,78,K,B,A,0,2,B,87.3,1207
1208,A,female,1,84.41,82,77,86,91,75,72,85,P,B,A,0,0,A,84.41,1208
1209,A,female,1,93.06,82,90,93,91,93,99,94,M,B,S,0,0,A,93.06,1209
1210,A,female,1,87.3,76,88,80,91,89,75,78,R,A,A,0,2,A,87.3,1210
1211,B,female,1,87.42,85,75,92,91,92,75,78,K,B,A,0,2,B,87.42,1211
1212,A,female,1,84.33,88,72,85,92,94,87,60,M,B,A,2,1,A,84.33,1212
1213,A,male,1,89.41,90,87,83,92,97,87,70,Y,B,D,0,0,A,89.41,1213
1214,A,female,1,84.11,79,48,85,92,85,88,84,X,A,A,0,2,A,84.11,1214
1215,A,female,1,87.26,80,78,87,92,95,92,94,E,A,A,0,1,A,87.26,1215
1216,A,female,1,91.9,95,86,96,92,95,90,95,Z,B,A,2,1,A,91.9,1216
1217,A,female,1,87.77,91,68,87,92,92,90,77,V,A,A,0,1,A,87.77,1217
1218,A,female,1,84.68,73,73,94,92,92,81,74,X,A,A,2,1,A,84.68,1218
1219,A,male,1,63.49,81,61,17,92,88,69,9,T,B,D,2,0,A,63.49,1219
1220,A,female,3,89.95,87,87,92,92,90,92,84,P,B,A,2,1,A,89.95,1220
1221,A,female,1,85.18,75,70,73,92,84,76,88,X,A,A,2,0,A,85.18,1221
1222,B,female,6,85.84,82,77,86,92,90,80,86,X,B,D,0,2,B,85.84,1222
1223,B,male,1,84.18,84,67,94,92,82,83,85,U,B,A,0,1,B,84.18,1223
1224,A,female,1,85,76,75,83,93,85,75,89,W,A,A,0,2,A,85,1224
1225,A,female,1,90.62,94,81,90,93,91,86,94,S,A,A,0,1,A,90.62,1225
1226,B,female,1,87.12,92,73,87,94,94,96,89,U,B,A,2,0,B,87.12,1226
1227,A,female,1,84.63,83,87,88,94,79,87,76,X,B,A,0,0,A,84.63,1227
1228,A,female,1,88.62,95,65,97,94,97,85,85,X,B,S,0,2,A,88.62,1228
1229,A,female,1,87.87,84,86,94,94,94,95,80,E,B,S,0,1,A,87.87,1229
1230,A,male,7,86.01,77,60,78,94,88,90,93,O,A,A,0,2,A,86.01,1230
1231,A,male,1,89.46,87,92,81,95,89,92,86,E,B,A,0,2,A,89.46,1231
1232,A,female,1,86.96,92,86,94,95,95,94,84,M,B,A,0,1,A,86.96,1232
1233,A,male,1,86.87,82,77,85,95,94,90,80,N,B,A,0,0,A,86.87,1233
1234,A,female,1,91.61,93,82,95,95,94,100,93,Y,B,S,0,1,A,91.61,1234
1235,A,female,1,88.54,89,86,96,96,96,87,81,AA,B,A,0,0,A,88.54,1235
1236,A,female,1,87.63,82,81,97,97,88,91,68,J,B,A,2,0,A,87.63,1236
1237,A,male,2,91.74,94,100,96,97,95,94,93,C,B,S,0,2,A,91.74,1237
1238,A,male,1,91.14,98,90,98,97,83,93,89,AA,B,A,0,1,A,91.14,1238
1239,A,male,1,90.31,84,82,99,97,89,96,85,P,B,A,0,2,A,90.31,1239
1240,B,male,1,88.1,87,70,95,97,91,93,82,AB,B,A,0,0,B,88.1,1240
1241,A,female,1,88.34,87,83,92,98,93,86,90,M,B,A,0,1,A,88.34,1241
1242,B,male,1,89.84,98,77,95,98,96,88,100,A,B,A,0,1,B,89.84,1242
1243,B,male,1,88.82,83,80,91,98,93,95,71,T,B,A,0,2,B,88.82,1243
1244,A,male,1,86.6,92,82,91,99,94,82,78,S,B,A,0,2,A,86.6,1244
1245,A,male,1,93.71,93,97,99,100,97,90,90,K,B,A,0,2,A,93.71,1245
